amp,freq
21334.102096857347,0.0005601920912785572
20340.215033689015,0.0011203841825571145
18233.132633990183,0.0016805762738356716
14027.47656441879,0.002240768365114229
6145.394810474207,0.0028009604563927863
8539.290394424112,0.0033611525476713437
22398.77664994553,0.0039213446389499
33871.069475491226,0.004481536730228458
41485.9158905943,0.005041728821507015
44056.180989171524,0.005601920912785572
40462.157781766095,0.0061621130040641296
30848.691535398128,0.0067223050953426865
21554.837541325083,0.007282497186621243
20144.823929936923,0.007842689277899802
22333.053755986184,0.008402881369178359
22184.233956350356,0.008963073460456916
17798.986871321817,0.009523265551735473
11165.443437708323,0.01008345764301403
13644.766974885202,0.010643649734292587
21202.961747467667,0.011203841825571145
24851.838588543505,0.011764033916849702
22582.583788118216,0.012324226008128259
13572.357910952329,0.012884418099406816
715.5087899232204,0.013444610190685373
16060.53154161376,0.01400480228196393
29376.35993597847,0.014564994373242489
39499.36849667546,0.015125186464521045
45174.69933698115,0.015685378555799604
45437.13837254238,0.016245570647078163
42424.89042815006,0.016805762738356718
40423.55892452872,0.017365954829635277
41268.57997901787,0.017926146920913832
43323.19528423913,0.01848633901219239
44143.28762273017,0.01904653110347095
41565.47742131185,0.019606723194749504
33904.390628085705,0.020166915286028063
21277.46850150769,0.020727107377306618
9515.700796743036,0.021287299468585177
20276.31351075631,0.021847491559863735
37382.88401852539,0.02240768365114229
49991.12417749792,0.02296787574242085
54254.82789312903,0.023528067833699404
49710.825923391756,0.024088259924977963
38723.43719634974,0.02464845201625652
26228.353628016914,0.025208644107535077
23360.91545783505,0.025768836198813636
34582.3264544225,0.02632902829009219
47495.40113144703,0.02688922038137075
55522.34777884864,0.027449412472649305
57780.142927673005,0.028009604563927863
55918.54146895509,0.028569796655206422
51439.95035134556,0.029129988746484977
44808.11699345512,0.029690180837763536
36553.27002891854,0.03025037292904209
28071.45899377049,0.03081056502032065
20529.496027915055,0.03137075711159921
17563.979425663212,0.03193094920287776
27708.02527475699,0.03249114129415632
46540.167224740464,0.033051333385434874
66845.0731127229,0.033611525476713436
85637.58708025844,0.03417171756799199
101387.09604258693,0.034731909659270546
111618.6070993117,0.0352921017505491
113291.11583834993,0.035852293841827663
104952.28069059063,0.03641248593310622
88899.20497618671,0.036972678024384774
70283.1130189754,0.037532870115663336
55288.289939025024,0.03809306220694189
48721.97833799708,0.038653254298220446
48664.506276445594,0.039213446389499
49160.44671202451,0.039773638480777564
47203.39405430489,0.04033383057205612
42825.79303820806,0.040894022663334674
37699.60062714001,0.041454214754613236
34587.80459758614,0.04201440684589179
34985.891033651125,0.042574598937170346
36753.267144037905,0.04313479102844891
36726.37744038632,0.043694983119727464
33570.8041250055,0.04425517521100602
27892.71052222809,0.044815367302284574
22710.542246470523,0.045375559393563136
24340.720939084746,0.04593575148484169
33608.765630316746,0.04649594357612025
43770.74097307438,0.04705613566739881
49731.09775756095,0.047616327758677364
49418.25852838993,0.04817651984995592
42928.374294018075,0.04873671194123448
31858.00533714366,0.049296904032513036
20169.398116477238,0.04985709612379159
16605.575227459976,0.05041728821507015
22470.604640551614,0.05097748030634871
27850.88020002236,0.051537672397627264
30204.753274947903,0.05209786448890582
31821.667173596663,0.05265805658018438
35600.75722203753,0.05321824867146294
41635.26037822052,0.05377844076274149
47251.77609770804,0.05433863285402005
49121.436127247754,0.05489882494529861
45718.43527659462,0.055459017036577164
38844.55316008626,0.05601920912785572
32175.61820522159,0.05657940121913428
28325.358793093892,0.05713959331041284
27498.190075526694,0.05769978540169139
27889.436435852498,0.058259977492969954
26733.030813850244,0.05882016958424851
22315.877847123124,0.059380361675527064
16748.556958911457,0.05994055376680562
18242.679803941402,0.06050074585808418
27962.990708252717,0.06106093794936274
38843.255130466336,0.06162113004064129
47506.73542550432,0.062181322131919854
53914.55452891338,0.06274151422319842
60242.64218928792,0.06330170631447697
67998.40529300309,0.06386189840575553
76464.90062456531,0.06442209049703408
82946.61123755529,0.06498228258831264
83227.9991638367,0.06554247467959119
74121.0387367768,0.06610266677086975
55475.60871023428,0.06666285886214832
30060.26429743053,0.06722305095342687
11590.486281794385,0.06778324304470543
33755.918720163296,0.06834343513598398
56610.80208492289,0.06890362722726254
70141.17008222803,0.06946381931854109
71375.40956316605,0.07002401140981965
60516.08663512684,0.07058420350109822
41548.20659361075,0.07114439559237677
24087.041056021782,0.07170458768365533
29216.307618186653,0.07226477977493388
46984.948041298354,0.07282497186621244
59279.36702970205,0.07338516395749099
60882.03429492622,0.07394535604876955
52438.79149182204,0.07450554814004812
39887.954293135204,0.07506574023132667
34089.92466128419,0.07562593232260523
39543.1824415418,0.07618612441388378
44985.76471012478,0.07674631650516234
41479.647207149166,0.07730650859644089
28060.734568270003,0.07786670068771945
10167.600662437015,0.07842689277899802
13605.018272898382,0.07898708487027657
25612.99961938764,0.07954727696155513
27132.981145460766,0.08010746905283368
16384.036537382497,0.08066766114411224
5795.543240042708,0.08122785323539079
29348.887911515125,0.08178804532666936
51026.44774741797,0.08234823741794792
63238.27173334912,0.08290842950922647
62071.287251714646,0.08346862160050503
48571.94885441871,0.08402881369178358
27666.941088106338,0.08458900578306214
7970.766893974873,0.08514919787434069
16616.860507130285,0.08570938996561926
26095.10362628985,0.08626958205689782
26424.860534015148,0.08682977414817637
20874.566005052053,0.08738996623945493
16946.01404603419,0.08795015833073348
18097.561982556283,0.08851035042201204
19027.636981238626,0.0890705425132906
19287.59819901446,0.08963073460456916
23015.951475776346,0.09019092669584772
28158.560385105277,0.09075111878712627
27449.170708013757,0.09131131087840483
15305.149045444243,0.09187150296968338
10924.496560969697,0.09243169506096194
44904.5240562847,0.0929918871522405
81222.26690911218,0.09355207924351906
110738.66096267087,0.09411227133479762
125672.91706013124,0.09467246342607617
121720.3509762308,0.09523265551735473
99480.76638010656,0.09579284760863328
64704.77742772134,0.09635303969991184
26886.181936576202,0.09691323179119041
11987.380991059594,0.09747342388246896
29552.48920497935,0.09803361597374752
31955.122985520695,0.09859380806502607
17940.017074751457,0.09915400015630463
8936.124781971888,0.09971419224758318
35529.074434400194,0.10027438433886174
57821.55760659032,0.10083457643014031
67464.8485807697,0.10139476852141886
60384.48632075036,0.10195496061269742
40581.91776516466,0.10251515270397597
21230.64367181619,0.10307534479525453
28229.266233749564,0.10363553688653308
41020.070571771736,0.10419572897781164
36665.563593278705,0.10475592106909021
19682.700824586893,0.10531611316036876
53924.84980649872,0.10587630525164732
118277.17942665704,0.10643649734292587
189076.2212776632,0.10699668943420443
249366.4933722007,0.10755688152548298
283825.34294634213,0.10811707361676154
285393.4306987373,0.10867726570804011
254339.2169672668,0.10923745779931866
195099.53424041558,0.10979764989059722
117805.502289257,0.11035784198187577
39678.68835023464,0.11091803407315433
31054.12782219291,0.11147822616443288
69615.12589911361,0.11203841825571145
80894.82008779,0.11259861034699001
66010.54611251742,0.11315880243826856
33615.42052997645,0.11371899452954712
8136.974549342415,0.11427918662082567
36347.95008045603,0.11483937871210423
53165.85415727126,0.11539957080338278
54657.46202944141,0.11595976289466135
44651.871653071365,0.11651995498593991
31739.280945782193,0.11708014707721846
24448.67977325548,0.11764033916849702
21324.42941530537,0.11820053125977557
17338.792098047994,0.11876072335105413
20016.540825482592,0.11932091544233268
32686.98684064148,0.11988110753361125
45105.74634931698,0.12044129962488981
52453.54899484012,0.12100149171616836
56998.48366423831,0.12156168380744692
65521.79752603316,0.12212187589872547
80509.18648939898,0.12268206799000403
96067.64708051176,0.1232422600812826
104435.73644003675,0.12380245217256115
100576.0327284367,0.12436264426383971
83619.98439433312,0.12492283635511826
57561.750240626265,0.12548302844639683
30493.658727837897,0.1260432205376754
16610.67551730341,0.12660341262895394
23606.22831656975,0.1271636047202325
28389.960813963895,0.12772379681151105
25356.673045358737,0.1282839889027896
17467.417116531684,0.12884418099406816
10236.711259557214,0.12940437308534672
8435.15584180021,0.12996456517662527
8655.66371604424,0.13052475726790383
8110.7875980154895,0.13108494935918238
9683.508914666816,0.13164514145046094
12688.365441948848,0.1322053335417395
13087.111023246636,0.13276552563301808
8519.33464963675,0.13332571772429663
6809.754207455901,0.1338859098155752
22362.138850296382,0.13444610190685374
43077.34606480965,0.1350062939981323
66165.31473589527,0.13556648608941085
89297.30918240536,0.1361266781806894
109131.14590441309,0.13668687027196796
122538.15502135419,0.13724706236324652
128255.12112371168,0.13780725445452507
125993.71450303303,0.13836744654580363
114568.58923090872,0.13892763863708218
92370.2758767044,0.13948783072836074
60381.17320153309,0.1400480228196393
24006.807269558056,0.14060821491091788
14617.586453077422,0.14116840700219643
42135.60974703312,0.141728599093475
59763.40953780654,0.14228879118475354
63461.4457575012,0.1428489832760321
53027.70944565379,0.14340917536731065
33042.60967221482,0.1439693674585892
15996.53391245549,0.14452955954986776
23670.190006089033,0.14508975164114632
33618.86573912665,0.14564994373242487
33059.92674863917,0.14621013582370343
23073.737932468728,0.14677032791498199
14310.53194414188,0.14733052000626054
21655.782129488834,0.14789071209753912
28975.98069902607,0.14845090418881768
26345.554021538588,0.14901109628009623
15378.0018116288,0.1495712883713748
23847.449883377863,0.15013148046265334
50422.038410657704,0.1506916725539319
74207.20584953357,0.15125186464521045
87331.75495925081,0.151812056736489
86729.20548784605,0.15237224882776756
73358.48741161625,0.15293244091904612
51585.65190770447,0.15349263301032467
28063.10297693164,0.15405282510160323
9563.934724337554,0.15461301719288179
3812.193064605981,0.15517320928416034
7964.976683530829,0.15573340137543892
14868.882859709429,0.15629359346671748
23338.1267596305,0.15685378555799603
27807.298752444865,0.1574139776492746
24201.648136953547,0.15797416974055314
12409.448372489283,0.1585343618318317
14432.662697588768,0.15909455392311025
36579.65358882618,0.1596547460143888
56784.97186985908,0.16021493810566736
69187.22727655136,0.16077513019694592
71253.7470467866,0.16133532228822448
62784.663379470134,0.16189551437950303
45433.580651373675,0.16245570647078159
22974.74802980407,0.16301589856206017
11187.6236811112,0.16357609065333872
30481.086954898037,0.16413628274461728
48829.48488740059,0.16469647483589583
60242.80761067022,0.1652566669271744
62791.46906397897,0.16581685901845294
56092.06308435228,0.1663770511097315
41477.21828087845,0.16693724320101005
22816.00150127245,0.1674974352922886
8589.443989654374,0.16805762738356717
13153.545816302101,0.16861781947484572
16886.696155748337,0.16917801156612428
12829.916815393291,0.16973820365740283
5851.525780343408,0.17029839574868139
13488.163786183162,0.17085858783995997
22413.917251941464,0.17141877993123852
25031.777889680263,0.17197897202251708
19737.84943093289,0.17253916411379563
8209.47677731815,0.1730993562050742
5462.472783039226,0.17365954829635274
14201.976987790378,0.1742197403876313
14644.645464514502,0.17477993247890986
7735.6705750963365,0.1753401245701884
21036.55865582785,0.17590031666146697
47099.2957938659,0.17646050875274552
72208.46230818775,0.17702070084402408
