per,e_per,ampl,e_ampl,phase,e_phase,stopcrit,amp,frequency,const,e_frequency,tic
0.927494328729703,9.557567479112124e-06,0.001346020296024565,9.684087920487367e-06,-0.019486312456789,0.007194607651228635,4.0,0.001346020296024565,1.0781737084792753,0.0,1.1110275991777316e-05,177162802.0
0.6483582073609416,1.6054518553913136e-05,0.0003915698052995801,9.684087920487367e-06,2.5675860119501692,0.02473144708662691,4.0,0.0003915698052995801,1.542357278194057,0.0,3.8191547910404615e-05,177162802.0
1.1278625917178693,5.720948315043853e-05,0.0003325223312737385,9.684087920487367e-06,0.6372628173971422,0.02912312049356844,4.0,0.0003325223312737385,0.8866328286293109,0.0,4.497339147744568e-05,177162802.0
0.8777477638573572,3.559584441389617e-05,0.000323680562034404,9.684087920487367e-06,-0.31200555128017804,0.02991865764079477,4.0,0.000323680562034404,1.1392794617959403,0.0,4.620190006274516e-05,177162802.0
1.0586035295381688,5.468403484967821e-05,0.00030646619748745415,9.684087920487367e-06,0.8162356979808392,0.03159920408802607,4.0,0.00030646619748745415,0.9446407196812054,0.0,4.879708464415205e-05,177162802.0
9.217473264604463,0.004512016107982686,0.00028159801407851015,9.684087920487367e-06,2.2614823535750217,0.03438975928923782,4.0,0.00028159801407851015,0.10848960135746179,0.0,5.3106400726239954e-05,177162802.0
0.8426453113312197,3.8607164198651364e-05,0.00027504146363542764,9.684087920487367e-06,2.4821353936816264,0.03520955637919306,4.0,0.00027504146363542764,1.18673893576906,0.0,5.437237273864054e-05,177162802.0
0.675793570973058,3.1987082996560434e-05,0.0002135157569700676,9.684087920487367e-06,0.7012882445311148,0.04535537825362913,4.0,0.0002135157569700676,1.4797418071913964,0.0,7.004006257703588e-05,177162802.0
1.0180947942052458,7.519609207412022e-05,0.00020613779134117402,9.684087920487367e-06,0.7594446132264068,0.04697871194544551,4.0,0.00020613779134117402,0.9822268080455404,0.0,7.254689633603187e-05,177162802.0
1.2689411236344543,0.0001282115205708143,0.00018781589723662536,9.684087920487367e-06,-0.3510919834195789,0.051561598687711645,4.0,0.00018781589723662536,0.7880586272874796,0.0,7.96240211792384e-05,177162802.0
0.7500444159713039,4.661791470867822e-05,0.00018046690786992144,9.684087920487367e-06,2.194011766078095,0.0536612946649895,4.0,0.00018046690786992144,1.3332543762825098,0.0,8.286647760455824e-05,177162802.0
1.2206451337946378,0.0001253435460904801,0.00017776789382783811,9.684087920487367e-06,-0.8392376396988444,0.05447602326810522,4.0,0.00017776789382783811,0.8192389190880441,0.0,8.412462260395443e-05,177162802.0
0.8385661853006209,6.911398403527724e-05,0.00015215464638333032,9.684087920487367e-06,-0.8791009286352116,0.06364635028029175,4.0,0.00015215464638333032,1.1925117152696851,0.0,9.828590407742628e-05,177162802.0
7.252384658282372,0.0050165976286556755,0.0001567937865600554,9.684087920487367e-06,-1.05627884568238,0.061763212260826116,4.0,0.0001567937865600554,0.13788568134730408,0.0,9.537786737256176e-05,177162802.0
1.1601816927868918,0.00014895339988865535,0.00013513817566993604,9.684087920487367e-06,2.2366281544500364,0.07166063825028955,4.0,0.00013513817566993604,0.8619339593248394,0.0,0.00011066197175764934,177162802.0
